concept_id,concept_name,status,concept_oid,last_update_date,last_update_note,concept_type,content_source,external_source_detail,concept_scope,value_set_search_notes,code,code_description,coding_system_id,coding_system_version
22,Hip Fracture,reviewed,,2024-03-21,,condition,Tuva-developed,,"In general, this concept is comprised of concepts that fit the common clinical use of the term ""hip fracture"", meaning fractures of the portions of the femur that lie within the hip joint capsure, as well as adjacent portions of the femur up to and including the trochanters.  It does not include fractures of the acetabulum, despite the acetabulum being part of the hip joint, since such fractures are distinct in terms of epidemiology, injury mechanism, and treatment, and are generally not referred to by the term ""hip fracture"".

Note that the scope includes two subtypes of hip fracture (#s 8 and 9 below) which may not correspond to the clinical intent of identifying ""hip fracture"" for some use cases, since they occur exclusively in young individuals (#8) or because they tend to be associated with vigorous physical activity rather than minor trauma in frail and/or osteoporotic individuals.  If needed, a separate value set could be created excluding those hip fracture subtypes.

Included:
1. Any assertion of ""hip fracture"".
2. Any assertion of fracture of the ""proximal femur"", since that term, in both SNOMED-CT and the Foundational Model of Anatomy, does not include the femoral shaft and thus would conform to the general scope described above.
2. Fracture of the femoral head
3. Fracture of the femoral neck
4. Trochanteric fracture of the femur
5. Intertrochanteric fracture of the femur
6. Subtrochanteric fracture of the femur
7. Periprosthetic fracture around prosthetic hip joint
8. Proximal physical or epiphyseal fracture of the femur
9. Apophyseal fracture of the femur since, while these tend to have different mechanisms of injury to other hip fractures (they are avulsion injuries usually caused by sudden forceful exertion), their anatomic location puts them in the category of ""hip fracture"".

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Fracture of the acetabulum
2. Slipped capital femoral epiphysis (SCFE), since that condition, which typically occurs in adolescents, is not a fracture
3. Assertion of fracture of the femur or ""proximal femur""","Candidate codes were identified for review based on ""contains"" search for the terms:
1. fractur AND
2. ANY of:
   a. hip
   b. femur
   c. femoral
   d. trochanter
   e. acetab",263225007,Fracture of proximal end of femur (disorder),1,http://snomed.info/sct/731000124108/version/20240301
23,HIV/AIDS  (HCC v28 concept #1),reviewed,,2024-03-25,,condition,external,"Based on the ""2024 Midyear/Final"" mappings of ICD-10-CM to Hierarchical Condition Categories (HCCs) by the U.S. Centers for Medicare and Medicaid Services (CMS) as published at: https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/risk-adjustors/2024-model-software/icd-10-mappings, downloaded in March 2024.","See external_source_detail for source; No scope statement was provided by the external source other than the title, which is incorporated into the concept_name.",n/a,86406008,Human immunodeficiency virus infection (disorder),1,http://snomed.info/sct/731000124108/version/20240301
24,Common Variable and Combined Immunodeficiencies  (HCC v28 concept #114),reviewed,,2024-03-25,,condition,external,"Based on the ""2024 Midyear/Final"" mappings of ICD-10-CM to Hierarchical Condition Categories (HCCs) by the U.S. Centers for Medicare and Medicaid Services (CMS) as published at: https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/risk-adjustors/2024-model-software/icd-10-mappings, downloaded in March 2024.","See external_source_detail for source; No scope statement was provided by the external source other than the title, which is incorporated into the concept_name.",n/a,234532001,Immunodeficiency disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
25,Specified Immunodeficiencies and White Blood Cell Disorders  (HCC v28 concept #115),reviewed,,2024-03-25,,condition,external,"Based on the ""2024 Midyear/Final"" mappings of ICD-10-CM to Hierarchical Condition Categories (HCCs) by the U.S. Centers for Medicare and Medicaid Services (CMS) as published at: https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/risk-adjustors/2024-model-software/icd-10-mappings, downloaded in March 2024.","See external_source_detail for source; No scope statement was provided by the external source other than the title, which is incorporated into the concept_name.",n/a,414029004,Disorder of immune function (disorder),1,http://snomed.info/sct/731000124108/version/20240301
26,"Bendamustine, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing bendamustine with a dosage form that implies systemic administration,,134547,bendamustine,3,03042024
27,"Bortezomib, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing bortezomib with a dosage form that implies systemic administration,,358258,bortezomib,3,03042024
28,CAR-T Therapy,reviewed,,2024-04-19,,therapy,Tuva-developed,,All CAR-T drug preparations,"Abecma
Breyanzi
Carvykti
Kymriah
Tecartus
Yescarta
idecabtagene
lisocabtagene
tisagenlecleucel
brexucabtagene
axicabtagene
ciltacabtagene",1156961008,Chimeric antigen receptor T-cell immunotherapy (procedure),1,http://snomed.info/sct/731000124108/version/20240301
29,"Carfilzomib, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing carfilzomib with a dosage form that implies systemic administration,,1302966,carfilzomib,3,03042024
30,"Cyclophosphamide, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing cyclophosphamide with a dosage form that implies systemic administration,,3002,cyclophosphamide,3,03042024
31,"Daratumumab, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing daratumumab with a dosage form that implies systemic administration,,1721947,daratumumab,3,03042024
32,"Dexamethasone, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing dexamethasone with a dosage form that implies systemic administration,,3264,dexamethasone,3,03042024
33,"Doxorubicin, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing doxorubicin with a dosage form that implies systemic administration,,3639,doxorubicin,3,03042024
34,"Elotuzumab, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing elotuzumab with a dosage form that implies systemic administration,,1726104,elotuzumab,3,03042024
35,"Etoposide, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing etoposide with a dosage form that implies systemic administration,,4179,etoposide,3,03042024
36,"Ixazomib, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing ixazomib with a dosage form that implies systemic administration,,1723735,ixazomib,3,03042024
37,"Lenalidomide, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing lenalidomide with a dosage form that implies systemic administration,,342369,lenalidomide,3,03042024
38,"Melphalan, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing melphalan with a dosage form that implies systemic administration,,6718,melphalan,3,03042024
39,"Pomalidomide, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing pomalidomide with a dosage form that implies systemic administration,,1369713,pomalidomide,3,03042024
40,"Prednisolone, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing prednisolone with a dosage form that implies systemic administration,,8638,prednisolone,3,03042024
41,"Prednisone, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing prednisone with a dosage form that implies systemic administration,,8640,prednisone,3,03042024
42,"Thalidomide, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing thalidomide with a dosage form that implies systemic administration,,10432,thalidomide,3,03042024
43,"Vincristine, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing vincristine with a dosage form that implies systemic administration,,11202,vincristine,3,03042024
44,"Vorinostat, Systemic",reviewed,,2024-04-19,,therapy,Tuva-developed,,All drug preparations containing vorinostat with a dosage form that implies systemic administration,,194337,vorinostat,3,03042024
45,Acute Lymphoblastic Leukemia,reviewed,,2024-04-03,,condition,Tuva-developed,,"All conditions classified as acute lymphoblastic leukemia or any of its subcategories, based on the WHO's 2022 classification, including:
        B-cell lymphoblastic leukemia/lymphoma
        T-cell lymphoblastic leukemia/lymphoma 
        Early T-precursor acute lymphoblastic leukemia

References:
Alaggio R, Amador C, Anagnostopoulos I, et al.  The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Lymphoid Neoplasms.  Leukemia 36:1720-1748, 2022.
Khoury JD, Solary E, Abla O, et al.  The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms.  Leukemia 36:1703-1719, 2022.","Candidate codes were identified for review based on ""contains"" searches for
1. lympho AND
2. leukem",91857003,"Acute lymphoid leukemia, disease (disorder)",1,http://snomed.info/sct/731000124108/version/20240301
46,Chronic Lymphocytic Leukemia,reviewed,,2024-04-03,,condition,Tuva-developed,,"All conditions classified as chronic lymphocytic leukemia or any of its subcategories, based on the WHO's 2022 classification, including:
        Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL)

References:
Alaggio R, Amador C, Anagnostopoulos I, et al.  The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Lymphoid Neoplasms.  Leukemia 36:1720-1748, 2022.
Khoury JD, Solary E, Abla O, et al.  The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms.  Leukemia 36:1703-1719, 2022.","Candidate codes were identified for review based on ""contains"" searches for
1. lympho AND
2. leukem",92814006,"Chronic lymphoid leukemia, disease (disorder)",1,http://snomed.info/sct/731000124108/version/20240301
47,COVID-19 Vaccination,reviewed,,2024-04-03,,therapy,Tuva-developed,,"All codes that describe a COVID-19 vaccine or administration of same.  Applies to active immunization only.  Thus, ""passive immunization"", the administration of antiboties to provide temporary protection, is not in scope.  The latter includes pemivibart, a monoclonal antibody preparation used for pre-exposure prophylaxis against Covid-19.","Candidate codes were identified for review based on ""contains"" searches for
1. covid
2. sars",1156257007,Administration of vaccine product against severe acute respiratory syndrome coronavirus 2 (procedure),1,http://snomed.info/sct/731000124108/version/20240301
48,Cytomegalovirus Infection,reviewed,,2024-04-03,,condition,Tuva-developed,,All codes that describe infection with or disease due to any virus in the genus Cytomegalovirus,"Candidate codes were identified for review based on ""contains"" searches for
1. cmv
2. cytomegalo",28944009,Cytomegalovirus infection (disorder),1,http://snomed.info/sct/731000124108/version/20240301
